owner;model_name;created_at;last_updated;family;model_size;previous_size_category;downloads;likes;library_name;pipeline_tag;cleaned_github;title;message;commit_id;date;author;files;names;combined;labels;manual_classification;oussama_classification;automatic_classification
af1tang;af1tang/personaGPT;3/2/2022;8/20/2023;af1tang_PERSONALGPT;117;small;10243;116;transformers;text-generation;https://github.com/af1tang/personaGPT;Update Getting Started code as previous version doesn't work anymore (#4);- Update Getting Started code as previous version doesn't work anymore (f7d1a692f0b87d3c75ada8e02e7dbd3c94fe7434) Co-authored-by: Ankit Sharma;2b9c48d5347b80d824b14148e91c0288af4fbe36;8/20/2023;af1tang;README.md;Rare Disjoing;update getting started code as previous version doesn't work anymore (#4) - update getting started code as previous version doesn't work anymore (f7d1a692f0b87d3c75ada8e02e7dbd3c94fe7434) co-authored-by: ankit sharma;getting started code update;external documentation;external documentation;external documentation
af1tang;af1tang/personaGPT;3/2/2022;8/20/2023;af1tang_PERSONALGPT;117;small;10243;116;transformers;text-generation;https://github.com/af1tang/personaGPT;weights update;;7b13971b89d90dd252d0b372e2c87d4b2d16ccb7;9/7/2021;af1tang;added_tokens.json, config.json, merges.txt, pytorch_model.bin, tokenizer_config.json, vocab.json;Rare Disjoing;weights update;model weight update;model structure;model structure;model structure
allenai;allenai/OLMo-1B-hf;4/23/2022;10/17/2023;allenai_OLMo;6888.095744;large;38368;38;transformers;text2text-generation;https://github.com/allenai/OLMo;initial commit;;95c7337adecca68059b16f09149c5b3c687d096e;4/12/2024;shanearora;.gitattributes, README.md;Intermittent Alignment;initial commit;commit initiation;project metadata;project metadata;project metadata
allenai;allenai/OLMo-7B-Instruct;4/23/2022;10/3/2022;allenai_OLMo;6888.095744;large;18375;48;transformers;text-generation;https://github.com/allenai/OLMo;Create README.md;;d87f426d2a2bfe7ae754631fe30f22710bcd3a04;2/27/2024;natolambert;README.md;Intermittent Alignment;create readme.md;readme creation;external documentation;external documentation;external documentation
allenai;allenai/OLMo-7B-Instruct;4/23/2022;10/3/2022;allenai_OLMo;6888.095744;large;18375;48;transformers;text-generation;https://github.com/allenai/OLMo;Update README.md;;2d50cde2a62a8f013622b8b592bc2cf54bd85de6;2/27/2024;jacobmorrison;README.md;Intermittent Alignment;update readme.md;readme update;external documentation;external documentation;external documentation
allenai;allenai/OLMo-7B-Instruct;4/23/2022;10/3/2022;allenai_OLMo;6888.095744;large;18375;48;transformers;text-generation;https://github.com/allenai/OLMo;Update README.md;;c5366daba9d5487db1949089173a6b3ea4183922;2/28/2024;natolambert;README.md;Intermittent Alignment;update readme.md;readme update;external documentation;external documentation;external documentation
allenai;allenai/OLMo-1.7-7B-hf;4/23/2022;10/3/2022;allenai_OLMo;6888.095744;large;41886;2;transformers;feature-extraction;https://github.com/allenai/OLMo;Update README.md;;f5ad8164968910b1bf78635a9171b7ce410224c3;4/18/2024;natolambert;README.md;Intermittent Alignment;update readme.md;readme update;external documentation;external documentation;external documentation
allenai;allenai/OLMo-1.7-7B-hf;4/23/2022;10/3/2022;allenai_OLMo;6888.095744;large;41886;2;transformers;feature-extraction;https://github.com/allenai/OLMo;Update README.md;;e96796ca2a56baed6377a592ca6458302bd7d699;4/18/2024;natolambert;README.md;Intermittent Alignment;update readme.md;readme update;external documentation;external documentation;external documentation
allenai;allenai/OLMo-1.7-7B-hf;4/23/2022;10/3/2022;allenai_OLMo;6888.095744;large;41886;2;transformers;feature-extraction;https://github.com/allenai/OLMo;Update README.md;Remove import to hf_olmo;4862743cee2a8622d04b4c60f0cb0ff6534e8ea6;5/17/2024;shanearora;README.md;Intermittent Alignment;update readme.md remove import to hf_olmo;readme update;external documentation;external documentation;external documentation
allenai;allenai/OLMo-1B-hf;4/23/2022;10/17/2023;allenai_OLMo;6888.095744;large;38368;38;transformers;text2text-generation;https://github.com/allenai/OLMo;add common files;;15d382d254804616ffb47f5abd68e5d74d22da4e;4/12/2024;shanearora;config.json, generation_config.json, special_tokens_map.json, tokenizer.json, tokenizer_config.json;Intermittent Alignment;add common files;file upload;sharing;sharing;sharing
allenai;allenai/OLMo-7B-Instruct;4/23/2022;10/3/2022;allenai_OLMo;6888.095744;large;18375;48;transformers;text-generation;https://github.com/allenai/OLMo;Fix citation;;6b04651c5589c97c7bbfd0a18c49e7ca754c4f25;3/1/2024;hamishivi;README.md;Intermittent Alignment;fix citation;citation fix;external documentation;external documentation;external documentation
allenai;allenai/OLMo-1B-hf;4/23/2022;10/17/2023;allenai_OLMo;6888.095744;large;38368;38;transformers;text2text-generation;https://github.com/allenai/OLMo;Trailing space breaks tokenization;;49c6a9d812335c3a7d789f39ebddc02a098e2f83;7/16/2024;dirkgr;README.md;Intermittent Alignment;trailing space breaks tokenization;trailing space fix ;preprocessing;preprocessing;preprocessing
augmxnt;augmxnt/shisa-gamma-7b-v1;12/23/2023;5/19/2024;augmxnt_shisa;7241.732096;large;19648;13;transformers;text-generation;https://github.com/AUGMXNT/shisa;initial commit;;1df927c4a1947f12995767729e8cbf9250b70c4d;12/23/2023;leonardlin;.gitattributes;Sparse Alignment;initial commit;commit initiation;project metadata;project metadata;project metadata
augmxnt;augmxnt/shisa-gamma-7b-v1;12/23/2023;5/19/2024;augmxnt_shisa;7241.732096;large;19648;13;transformers;text-generation;https://github.com/AUGMXNT/shisa;Upload 2 files;;f07cfa85d3aef103a7475a6fbbae03afd02a29f3;12/23/2023;leonardlin;ja-comparison.png, shisa-comparison.png;Sparse Alignment;upload 2 files;file upload;sharing;sharing;sharing
augmxnt;augmxnt/shisa-gamma-7b-v1;12/23/2023;5/19/2024;augmxnt_shisa;7241.732096;large;19648;13;transformers;text-generation;https://github.com/AUGMXNT/shisa;Upload folder using huggingface_hub;;311d0981ad2f1007081496f1823c1a5d73b05880;12/23/2023;leonardlin;added_tokens.json, config.json, generation_config.json, model-00001-of-00004.safetensors, model-00002-of-00004.safetensors, model-00003-of-00004.safetensors, model-00004-of-00004.safetensors, model.safetensors.index.json, special_tokens_map.json, tokenizer.json, tokenizer.model, tokenizer_config.json;Sparse Alignment;upload folder using huggingface_hub;folder upload;sharing;sharing;sharing
augmxnt;augmxnt/shisa-gamma-7b-v1;12/23/2023;5/19/2024;augmxnt_shisa;7241.732096;large;19648;13;transformers;text-generation;https://github.com/AUGMXNT/shisa;Create README.md;;eaece2abee1900a387f8b5b6b51fa1f0c41648ae;12/23/2023;leonardlin;README.md;Sparse Alignment;create readme.md;readme creation;external documentation;external documentation;external documentation
augmxnt;augmxnt/shisa-gamma-7b-v1;12/23/2023;5/19/2024;augmxnt_shisa;7241.732096;large;19648;13;transformers;text-generation;https://github.com/AUGMXNT/shisa;Update README.md;;00ad931e49322df58ad7646333ce0796864f51aa;12/23/2023;leonardlin;README.md;Sparse Alignment;update readme.md;readme update;external documentation;external documentation;external documentation
augmxnt;augmxnt/shisa-gamma-7b-v1;12/23/2023;5/19/2024;augmxnt_shisa;7241.732096;large;19648;13;transformers;text-generation;https://github.com/AUGMXNT/shisa;Update README.md;;f3c619b6bd19db914a82a740afd74d7a4d8a55da;12/23/2023;leonardlin;README.md;Sparse Alignment;update readme.md;readme update;external documentation;external documentation;external documentation
augmxnt;augmxnt/shisa-gamma-7b-v1;12/23/2023;5/19/2024;augmxnt_shisa;7241.732096;large;19648;13;transformers;text-generation;https://github.com/AUGMXNT/shisa;Update tokenizer_config.json;;0d9befd29887cb6aeb67c48325236a2cf8d97152;5/19/2024;leonardlin;tokenizer_config.json;Sparse Alignment;update tokenizer_config.json;tokenizer file update;preprocessing;preprocessing;preprocessing
augmxnt;augmxnt/shisa-gamma-7b-v1;12/23/2023;5/19/2024;augmxnt_shisa;7241.732096;large;19648;13;transformers;text-generation;https://github.com/AUGMXNT/shisa;fixed tokenizer - original Gamma tokenizer;;49bf4a58453d191845668b8ff17e4b8f0e9ccae6;1/2/2024;leonardlin;special_tokens_map.json, tokenizer.json, tokenizer_config.json;Sparse Alignment;fixed tokenizer - original gamma tokenizer;tokenizer fix;preprocessing;preprocessing;preprocessing
BAAI;BAAI/bge-m3;2/5/2024;2/13/2024;BAAI_bge;278.044931;medium;486862;931;sentence-transformers;sentence-similarity;https://github.com/FlagOpen/FlagEmbedding;Update MIRACL evaluation results of BGE-M3 (#67);#NAME?;5617a9f61b028005a4858fdac845db406aefb181;7/3/2024;Shitao;imgs/bm25.jpg, imgs/miracl.jpg;Frequent Alignment;update miracl evaluation results of bge-m3 (#67) #name?;evaluation result update;validation infrastructure;validation infrastructure;validation infrastructure
BAAI;BAAI/AquilaChat2-34B-16K;2/5/2024;2/7/2024;BAAI_bge;23.954432;small;11854;24;transformers;text-generation;https://github.com/FlagOpen/FlagEmbedding;Update predict.py;;944391d847121348daf8592bd194a8b12bb3c6ca;10/19/2023;ldwang;predict.py;Frequent Alignment;update predict.py;prediction code update;update dependency;training infrastructure;validation infrastructure
BAAI;BAAI/bge-small-zh-v1.5;2/5/2024;2/7/2024;BAAI_bge;567.755777;medium;16616;36;transformers;feature-extraction;https://github.com/FlagOpen/FlagEmbedding;update;;082b8e246f172370b5bd5716b5946905f8f5be56;9/12/2023;ldwang;README.md;Frequent Alignment;update;readme update;external documentation;external documentation;preprocessing
BAAI;BAAI/bge-reranker-large;3/15/2024;6/11/2024;BAAI_bge;335.1424;medium;616038;266;transformers;feature-extraction;https://github.com/FlagOpen/FlagEmbedding;update;;ac939e2cc5ea93b8f784695462cca39e52e3b941;9/12/2023;ldwang;README.md;Frequent Alignment;update;readme update;external documentation;external documentation;preprocessing
BAAI;BAAI/bge-base-en;12/19/2023;12/21/2023;BAAI_bge;33.360512;small;31246;53;transformers;feature-extraction;https://github.com/FlagOpen/FlagEmbedding;update;;17d124a4b773c4c9248ca816b0b0901e3c49a243;10/12/2023;ldwang;README.md;Frequent Alignment;update;readme update;external documentation;external documentation;preprocessing
BAAI;BAAI/bge-large-en;11/28/2023;4/19/2024;BAAI_bge;109.482752;small;190695;184;transformers;feature-extraction;https://github.com/FlagOpen/FlagEmbedding;update;;74a7b11d551bcfca7555451787b110f6cf7a1618;8/5/2023;ldwang;README.md;Frequent Alignment;update;readme update;external documentation;external documentation;preprocessing
BAAI;BAAI/bge-m3;2/5/2024;2/13/2024;BAAI_bge;278.044931;medium;486862;931;sentence-transformers;sentence-similarity;https://github.com/FlagOpen/FlagEmbedding;Update README.md;;d5ab3da48ec596cd78a50b27e52c7211b49d870f;2/5/2024;Shitao;README.md;Frequent Alignment;update readme.md;readme update;external documentation;external documentation;external documentation
BAAI;BAAI/AquilaChat2-34B-16K;2/5/2024;2/7/2024;BAAI_bge;23.954432;small;11854;24;transformers;text-generation;https://github.com/FlagOpen/FlagEmbedding;Update README.md;;e98fd62a480d7fd09cc82a3645129bb893d7b147;10/26/2023;shunxing1234;README.md;Frequent Alignment;update readme.md;readme update;external documentation;external documentation;external documentation
BAAI;BAAI/bge-m3;2/5/2024;2/13/2024;BAAI_bge;278.044931;medium;486862;931;sentence-transformers;sentence-similarity;https://github.com/FlagOpen/FlagEmbedding;Update README.md;;2ab44ec5c6ffa948890dcd605b723be45690d220;3/8/2024;Shitao;README.md;Frequent Alignment;update readme.md;readme update;external documentation;external documentation;external documentation
BAAI;BAAI/bge-reranker-base;2/5/2024;3/28/2024;BAAI_bge;335.1424;medium;422277;117;sentence-transformers;text-classification;https://github.com/FlagOpen/FlagEmbedding;Upload README.md with huggingface_hub;;bb2cff8c396719985db94d528f3417914aaef208;4/12/2024;Shitao;README.md;Frequent Alignment;upload readme.md with huggingface_hub;readme update;sharing;sharing;sharing
bigcode;bigcode/gpt_bigcode-santacoder;6/12/2023;6/13/2023;bigcode_gpt;1124.886528;medium;24658;24;transformers;text-generation;https://github.com/bigcode-project/Megatron-LM;iter_0600000;;d328d4d74f941d64da69fe0e4aa561082875dfca;2/8/2023;jlamypoirier;config.json, pytorch_model.bin;Intermittent Alignment;iter_0600000;checkpoint update;training infrastructure;training infrastructure;training infrastructure
bigcode;bigcode/gpt_bigcode-santacoder;6/12/2023;6/13/2023;bigcode_gpt;1124.886528;medium;24658;24;transformers;text-generation;https://github.com/bigcode-project/Megatron-LM;initial commit;;2821ef8faec3839de34efce8761e0e9234725979;2/7/2023;jlamypoirier;.gitattributes, README.md;Intermittent Alignment;initial commit;commit initiation;project metadata;project metadata;project metadata
bigcode;bigcode/gpt_bigcode-santacoder;6/12/2023;6/13/2023;bigcode_gpt;1124.886528;medium;24658;24;transformers;text-generation;https://github.com/bigcode-project/Megatron-LM;Adding `safetensors` variant of this model (#3);- Adding `safetensors` variant of this model (3965c3faea545c78248d2ba6f5760b12f6686ff2) Co-authored-by: Safetensors convertbot;f0b45544ce15ad9ec9eec4e575e1a2cf6b50cd53;5/31/2023;cakiki;model.safetensors;Intermittent Alignment;adding `safetensors` variant of this model (#3) - adding `safetensors` variant of this model (3965c3faea545c78248d2ba6f5760b12f6686ff2) co-authored-by: safetensors convertbot;model variant addition;model structure;model structure;model structure
bigcode;bigcode/gpt_bigcode-santacoder;6/12/2023;6/13/2023;bigcode_gpt;1124.886528;medium;24658;24;transformers;text-generation;https://github.com/bigcode-project/Megatron-LM;Update README.md;;291931872cae83498cf984b16319f47f5e9e7a07;6/8/2023;loubnabnl;README.md;Intermittent Alignment;update readme.md;readme update;external documentation;external documentation;external documentation
